critic,fresh,imdb,publication,quote,review_date,rtid,title
Rita Kempley,1,114709,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,1/1/00,9559,Toy story
,1,114709,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",11/22/95,9559,Toy story
Roger Moore,1,114709,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",11/22/95,9559,Toy story
Owen Gleiberman,0,113497,Entertainment Weekly,,9/7/11,12436,Jumanji
Leonard Klady,0,113497,Variety,,1/2/09,12436,Jumanji
Geoff Andrew,0,113497,Time Out,,6/24/06,12436,Jumanji
Janet Maslin,0,113497,New York Times,,5/20/03,12436,Jumanji
Peter Stack,0,113497,San Francisco Chronicle,,6/18/02,12436,Jumanji
,0,113497,Globe and Mail,,4/12/02,12436,Jumanji
Jack Mathews,0,113497,Los Angeles Times,,2/13/01,12436,Jumanji
,0,113497,Washington Post,,1/1/00,12436,Jumanji
James Berardinelli,0,113497,ReelViews,,1/1/00,12436,Jumanji
Joe Baltake,0,113497,Sacramento Bee,,1/1/00,12436,Jumanji
Roger Ebert,0,113497,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",1/1/00,12436,Jumanji
Susan Stark,1,113497,Detroit News,,1/1/00,12436,Jumanji
,1,113497,USA Today,A calculated but very entertaining special effects extravaganza.,1/1/00,12436,Jumanji
,0,113497,Entertainment Weekly,,12/15/95,12436,Jumanji
Brian Lowry,0,107050,Variety,,10/6/10,10498,Grumpy Old Men
,0,107050,Variety,,3/26/09,10498,Grumpy Old Men
Richard Schickel,1,107050,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,8/24/08,10498,Grumpy Old Men
Derek Adams,0,107050,Time Out,"Mediocre, regrettably.",6/24/06,10498,Grumpy Old Men
Caryn James,1,107050,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",5/20/03,10498,Grumpy Old Men
James Berardinelli,1,107050,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",1/1/00,10498,Grumpy Old Men
Roger Ebert,0,107050,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",1/1/00,10498,Grumpy Old Men
Desson Thomson,1,107050,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",1/1/00,10498,Grumpy Old Men
,1,107050,Entertainment Weekly,,12/24/93,10498,Grumpy Old Men
Godfrey Cheshire,0,114885,Variety,,3/26/09,16697,Waiting to Exhale
David Ansen,0,114885,Newsweek,,3/31/08,16697,Waiting to Exhale
,0,114885,Time Out,,1/26/06,16697,Waiting to Exhale
Stephen Holden,0,114885,New York Times,,5/20/03,16697,Waiting to Exhale
Liam Lacey,0,114885,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,4/12/02,16697,Waiting to Exhale
Kenneth Turan,1,114885,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2/13/01,16697,Waiting to Exhale
Edward Guthmann,0,114885,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",1/1/00,16697,Waiting to Exhale
Desson Thomson,1,114885,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,1/1/00,16697,Waiting to Exhale
Joan Walsh,0,114885,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",1/1/00,16697,Waiting to Exhale
Susan Wloszczyna,1,114885,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",1/1/00,16697,Waiting to Exhale
Joe Baltake,0,114885,Sacramento Bee,"With one possible exception, none of its women is at all likable.",1/1/00,16697,Waiting to Exhale
Susan Stark,0,114885,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",1/1/00,16697,Waiting to Exhale
James Berardinelli,0,114885,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",1/1/00,16697,Waiting to Exhale
Roger Ebert,1,114885,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",1/1/00,16697,Waiting to Exhale
,1,114885,Entertainment Weekly,,12/22/95,16697,Waiting to Exhale
Brian Lowry,0,113041,Variety,,3/26/09,10379,Father of the Bride Part II
,0,113041,Time Out,,1/26/06,10379,Father of the Bride Part II
Janet Maslin,0,113041,New York Times,,5/20/03,10379,Father of the Bride Part II
Peter Stack,0,113041,San Francisco Chronicle,,6/18/02,10379,Father of the Bride Part II
,0,113041,Globe and Mail,,4/12/02,10379,Father of the Bride Part II
Kevin Thomas,0,113041,Los Angeles Times,,2/13/01,10379,Father of the Bride Part II
Mike Clark,0,113041,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",1/1/00,10379,Father of the Bride Part II
Roger Ebert,0,113041,Chicago Sun-Times,,1/1/00,10379,Father of the Bride Part II
Susan Stark,0,113041,Detroit News,,1/1/00,10379,Father of the Bride Part II
Joe Baltake,0,113041,Sacramento Bee,,1/1/00,10379,Father of the Bride Part II
Hal Hinson,0,113041,Washington Post,,1/1/00,10379,Father of the Bride Part II
James Berardinelli,0,113041,ReelViews,,1/1/00,10379,Father of the Bride Part II
Desson Thomson,0,113041,Washington Post,,1/1/00,10379,Father of the Bride Part II
,1,113041,Entertainment Weekly,,12/8/95,10379,Father of the Bride Part II
Todd McCarthy,1,113277,Variety,Heat occupies an exalted position among the countless contemporary crime films.,10/16/08,13098,Heat
Peter Travers,1,113277,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,8/14/07,13098,Heat
Geoff Andrew,1,113277,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2/9/06,13098,Heat
Janet Maslin,0,113277,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",5/20/03,13098,Heat
Kenneth Turan,1,113277,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2/13/01,13098,Heat
Mike Clark,1,113277,USA Today,"For a film that deserves Oscars for photography, editing, sound and arguably scoring, Heat is packed with unforgettable subcharacters.",1/1/00,13098,Heat
Richard Schickel,1,113277,TIME Magazine,"All this adds good weight and tension to the movie and provides a lot of very good actors with the opportunity to do honest, probing work in a context where, typically, less will do.",1/1/00,13098,Heat
Andrew Ross,0,113277,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities ...",1/1/00,13098,Heat
Roger Ebert,1,113277,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,1/1/00,13098,Heat
James Berardinelli,0,113277,ReelViews,... a colossal disappointment.,1/1/00,13098,Heat
Hal Hinson,1,113277,Washington Post,"If there's one thing Michael Mann knows how to do, it's create tension.",1/1/00,13098,Heat
Sean Means,1,113277,Film.com,Heat generates lots of energy but gives off little light.,1/1/00,13098,Heat
Desson Thomson,1,113277,Washington Post,"As with his other works, [Mann] binds sound, music and pictures into one hypnotic triaxial cable and plugs it right into your brain. He makes this almost-three-hour experience practically glide by.",1/1/00,13098,Heat
Susan Stark,1,113277,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,1/1/00,13098,Heat
Edward Guthmann,1,113277,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",1/1/00,13098,Heat
Andy Spletzer,1,113277,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,1/1/00,13098,Heat
Joe Baltake,1,113277,Sacramento Bee,"Heat has an impressively strong script by Mann, and he backs it up with gorgeous filmmaking.",1/1/00,13098,Heat
Owen Gleiberman,1,113277,Entertainment Weekly,Heat is an ''epic'' that feels like a stunt.,12/15/95,13098,Heat
,1,47437,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2/3/09,18228,Sabrina
Variety Staff,1,47437,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",10/18/08,18228,Sabrina
Dave Kehr,1,47437,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,8/15/07,18228,Sabrina
Derek Adams,1,47437,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",6/24/06,18228,Sabrina
James Berardinelli,1,47437,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",1/1/00,18228,Sabrina
Bosley Crowther,1,47437,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",1/1/00,18228,Sabrina
Joe Leydon,0,112302,Variety,,3/26/09,11639,Tom and Huck
Hal Hinson,0,112302,Washington Post,,1/1/00,11639,Tom and Huck
Stephen Holden,0,112302,New York Times,,1/1/00,11639,Tom and Huck
Susan Wloszczyna,0,112302,USA Today,A joyless lump.,1/1/00,11639,Tom and Huck
Peter Stack,0,112302,San Francisco Chronicle,,1/1/00,11639,Tom and Huck
Susan Stark,1,112302,Detroit News,,1/1/00,11639,Tom and Huck
Kevin McManus,0,112302,Washington Post,,1/1/00,11639,Tom and Huck
,0,114576,Entertainment Weekly,,12/27/10,15378,Sudden Death
Derek Elley,0,114576,Variety,,3/26/09,15378,Sudden Death
Geoff Andrew,1,114576,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2/9/06,15378,Sudden Death
Stephen Holden,1,114576,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",5/20/03,15378,Sudden Death
Mick LaSalle,1,114576,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,6/18/02,15378,Sudden Death
Peter Travers,0,114576,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",5/12/01,15378,Sudden Death
Kevin Thomas,1,114576,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2/13/01,15378,Sudden Death
Roger Ebert,1,114576,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",1/1/00,15378,Sudden Death
Richard Harrington,1,114576,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",1/1/00,15378,Sudden Death
Desson Thomson,0,114576,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",1/1/00,15378,Sudden Death
Susan Stark,0,114576,Detroit News,,1/1/00,15378,Sudden Death
James Berardinelli,0,114576,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",1/1/00,15378,Sudden Death
Anthony Lane,1,113189,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",10/23/12,12812,GoldenEye
Owen Gleiberman,0,113189,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",10/13/08,12812,GoldenEye
Jonathan Rosenbaum,1,113189,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",10/13/08,12812,GoldenEye
Richard Schickel,0,113189,TIME Magazine,"Richard Kiel, you are missed.",10/13/08,12812,GoldenEye
Todd McCarthy,1,113189,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",10/2/08,12812,GoldenEye
,1,113189,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2/9/06,12812,GoldenEye
Janet Maslin,0,113189,New York Times,Suffers the blahs.,5/20/03,12812,GoldenEye
Peter Stack,1,113189,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",6/18/02,12812,GoldenEye
Rick Groen,0,113189,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",4/12/02,12812,GoldenEye
Kenneth Turan,0,113189,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2/13/01,12812,GoldenEye
Susan Wloszczyna,1,113189,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,1/1/00,12812,GoldenEye
Hal Hinson,1,113189,Washington Post,Directed with top-dollar proficiency (and some real wit).,1/1/00,12812,GoldenEye
James Berardinelli,1,113189,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,1/1/00,12812,GoldenEye
Roger Ebert,1,113189,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",1/1/00,12812,GoldenEye
Susan Stark,1,113189,Detroit News,,1/1/00,12812,GoldenEye
Geoff Andrew,1,112346,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",6/24/06,10129,The American President
Janet Maslin,1,112346,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",5/20/03,10129,The American President
Kenneth Turan,1,112346,Los Angeles Times,Genial and entertaining if not notably inspired.,2/13/01,10129,The American President
,1,112346,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2/13/01,10129,The American President
Richard Corliss,1,112346,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,1/1/00,10129,The American President
James Berardinelli,0,112346,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",1/1/00,10129,The American President
Tom Keogh,1,112346,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",1/1/00,10129,The American President
Sean Means,1,112346,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,1/1/00,10129,The American President
Joe Baltake,1,112346,Sacramento Bee,"A shrewd new depiction of 'office sex,' as well as an utterly positive view of the idea that a president's character is important.",1/1/00,10129,The American President
Susan Stark,1,112346,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",1/1/00,10129,The American President
Roger Ebert,1,112346,Chicago Sun-Times,Great entertainment.,1/1/00,10129,The American President
Desson Thomson,1,112346,Washington Post,A well-modulated charmer.,1/1/00,10129,The American President
Paula Nechak,1,112346,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,1/1/00,10129,The American President
Rita Kempley,1,112346,Washington Post,Frothy.,1/1/00,10129,The American President
Edward Guthmann,1,112346,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",1/1/00,10129,The American President
John Hartl,1,112346,Film.com,Painless fun.,1/1/00,10129,The American President
Mike Clark,1,112346,USA Today,A super cast injects it with Teddy Roosevelt vitality.,1/1/00,10129,The American President
Susan Rathke,0,112346,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",1/1/00,10129,The American President
Owen Gleiberman,1,112346,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",11/17/95,10129,The American President
Derek Elley,0,112896,Variety,,2/23/12,10445,Dracula: Dead and Loving It
Jonathan Rosenbaum,0,112896,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,10/20/09,10445,Dracula: Dead and Loving It
Joe Leydon,0,112896,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",3/26/09,10445,Dracula: Dead and Loving It
,0,112896,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",1/26/06,10445,Dracula: Dead and Loving It
Janet Maslin,1,112896,New York Times,Slight but amusing.,5/20/03,10445,Dracula: Dead and Loving It
David Kronke,0,112896,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",8/15/02,10445,Dracula: Dead and Loving It
James Berardinelli,0,112896,ReelViews,It's a toothless parody that misses more often than it hits.,1/1/00,10445,Dracula: Dead and Loving It
Susan Stark,0,112896,Detroit News,,1/1/00,10445,Dracula: Dead and Loving It
Hal Hinson,0,112896,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",1/1/00,10445,Dracula: Dead and Loving It
Susan Wloszczyna,0,112896,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",1/1/00,10445,Dracula: Dead and Loving It
Desson Thomson,0,112896,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",1/1/00,10445,Dracula: Dead and Loving It
Mick LaSalle,1,112896,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",1/1/00,10445,Dracula: Dead and Loving It
Brian Lowry,0,112453,Variety,,3/26/09,9562,Balto
,0,112453,Time Out,,1/26/06,9562,Balto
Stephen Holden,0,112453,New York Times,,5/20/03,9562,Balto
David Kronke,0,112453,Los Angeles Times,,8/15/02,9562,Balto
Joe Baltake,0,112453,Sacramento Bee,,1/1/00,9562,Balto
Peter Stack,0,112453,San Francisco Chronicle,,1/1/00,9562,Balto
Susan Wloszczyna,0,112453,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",1/1/00,9562,Balto
Kevin McManus,0,112453,Washington Post,,1/1/00,9562,Balto
Roger Ebert,1,112453,Chicago Sun-Times,,1/1/00,9562,Balto
James Berardinelli,0,112453,ReelViews,,1/1/00,9562,Balto
Susan Stark,0,112453,Detroit News,,1/1/00,9562,Balto
Rita Kempley,0,112453,Washington Post,,1/1/00,9562,Balto
Owen Gleiberman,1,113987,Entertainment Weekly,,9/7/11,16248,Nixon
Geoff Andrew,0,113987,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",1/26/06,16248,Nixon
Janet Maslin,1,113987,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",5/20/03,16248,Nixon
,0,113987,Globe and Mail,,4/12/02,16248,Nixon
Peter Travers,0,113987,Rolling Stone,,5/12/01,16248,Nixon
Hal Hinson,1,113987,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2/16/01,16248,Nixon
Kenneth Turan,1,113987,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2/13/01,16248,Nixon
Todd McCarthy,0,113987,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2/13/01,16248,Nixon
James Berardinelli,1,113987,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",1/1/00,16248,Nixon
John Hartl,0,113987,Film.com,There's no compelling structure or viewpoint to hold the picture together.,1/1/00,16248,Nixon
Mick LaSalle,0,113987,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,1/1/00,16248,Nixon
Roger Ebert,1,113987,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",1/1/00,16248,Nixon
Susan Stark,1,113987,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",1/1/00,16248,Nixon
Joe Baltake,1,113987,Sacramento Bee,"Rich, dense and complex.",1/1/00,16248,Nixon
Stanley Kauffmann,1,113987,The New Republic,The picture is a case study.,1/1/00,16248,Nixon
Sean Means,1,113987,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,1/1/00,16248,Nixon
Emily White,0,113987,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",1/1/00,16248,Nixon
Mike Clark,1,113987,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,1/1/00,16248,Nixon
Lyall Bush,0,113987,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,1/1/00,16248,Nixon
Richard Corliss,0,113987,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",1/1/00,16248,Nixon
Todd McCarthy,0,112760,Variety,,3/26/09,10672,Cutthroat Island
,0,112760,Time Out,,2/9/06,10672,Cutthroat Island
Janet Maslin,0,112760,New York Times,,5/20/03,10672,Cutthroat Island
Kenneth Turan,0,112760,Los Angeles Times,,8/15/02,10672,Cutthroat Island
Peter Stack,0,112760,San Francisco Chronicle,,6/18/02,10672,Cutthroat Island
,0,112760,Globe and Mail,,4/12/02,10672,Cutthroat Island
Joe Baltake,0,112760,Sacramento Bee,,1/1/00,10672,Cutthroat Island
Roger Ebert,1,112760,Chicago Sun-Times,,1/1/00,10672,Cutthroat Island
Susan Stark,1,112760,Detroit News,,1/1/00,10672,Cutthroat Island
Susan Wloszczyna,1,112760,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",1/1/00,10672,Cutthroat Island
Desson Thomson,0,112760,Washington Post,,1/1/00,10672,Cutthroat Island
James Berardinelli,0,112760,ReelViews,,1/1/00,10672,Cutthroat Island
,0,112760,Entertainment Weekly,,12/22/95,10672,Cutthroat Island
Owen Gleiberman,1,112641,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",1/25/10,13456,Casino
Richard Schickel,1,112641,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",1/25/10,13456,Casino
Jonathan Rosenbaum,0,112641,Chicago Reader,Simultaneously quite watchable and passionless.,1/25/10,13456,Casino
Todd McCarthy,1,112641,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",5/16/08,13456,Casino
David Ansen,0,112641,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",3/31/08,13456,Casino
Hal Hinson,0,112641,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",8/9/06,13456,Casino
Geoff Andrew,0,112641,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",2/9/06,13456,Casino
Janet Maslin,1,112641,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",5/20/03,13456,Casino
Mick LaSalle,0,112641,San Francisco Chronicle,"It's an ambitious film, but also a scattered, unfocused one.",6/18/02,13456,Casino
Rick Groen,1,112641,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",4/12/02,13456,Casino
Peter Travers,1,112641,Rolling Stone,[A] Vegas masterpiece.,5/12/01,13456,Casino
Kenneth Turan,1,112641,Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",2/13/01,13456,Casino
Desson Thomson,0,112641,Washington Post,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",1/1/00,13456,Casino
Susan Stark,1,112641,Detroit News,,1/1/00,13456,Casino
Roger Ebert,1,112641,Chicago Sun-Times,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,1/1/00,13456,Casino
